MAS,Ref
-5.583767527111264256e-02,9.111477973569962266e-03
-5.190220899445464192e-02,8.843018009046191980e-03
-4.964280955427610720e-02,8.604939193701638747e-03
-4.612073656838760333e-02,8.374840367356070625e-03
-4.378138573762590385e-02,8.158120539409513192e-03
-4.116680699868206783e-02,7.953001180650088112e-03
6.628757717758128054e-01,inf
nan,nan
7.636030439680495663e-01,1.580373690079312776e-01
1.676102791026113037e+00,9.675465118158922684e-02
-2.594091732632374248e-01,7.386316940019289901e-02
-2.138105212814508160e+00,5.724280064521230366e-02
-2.393608872630475837e+00,4.972899416485968699e-02
-2.001386523887292768e+00,4.242965177536753979e-02
-1.682524820814031763e+00,3.758733849113780889e-02
-1.359123861093461727e+00,3.316741783896303558e-02
-1.123946515383791533e+00,3.003447798703796912e-02
-9.505376351488346032e-01,2.755101951148028819e-02
-7.921027216153875283e-01,2.524864828331599073e-02
-6.811957048836977391e-01,2.338498659374351266e-02
-5.765519029067874834e-01,2.165505551478439511e-02
-5.055647580801280183e-01,2.034611957327027085e-02
-4.368379070363608840e-01,1.909489592587793397e-02
-3.881715279310499755e-01,1.800344736913945393e-02
