lat,lon,mag,depth
2.394000000000000128e+01,1.211299999999999955e+02,3.149999999999999911e+00,2.619999999999999929e+01
2.353000000000000114e+01,1.209800000000000040e+02,3.120000000000000107e+00,4.799999999999999822e+00
2.376800000000000068e+01,1.210060000000000002e+02,3.490000000000000213e+00,2.169999999999999929e+01
2.357999999999999829e+01,1.208299999999999983e+02,3.439999999999999947e+00,5.200000000000000178e+00
2.358099999999999952e+01,1.208289999999999935e+02,3.529999999999999805e+00,8.900000000000000355e+00
2.375000000000000000e+01,1.210300000000000011e+02,3.160000000000000142e+00,2.139999999999999858e+01
2.432999999999999829e+01,1.212099999999999937e+02,3.149999999999999911e+00,1.700000000000000000e+01
2.363699999999999690e+01,1.210289999999999964e+02,5.099999999999999645e+00,4.039999999999999858e+01
2.407000000000000028e+01,1.213400000000000034e+02,3.250000000000000000e+00,1.119999999999999929e+01
2.369000000000000128e+01,1.210199999999999960e+02,3.029999999999999805e+00,1.359999999999999964e+01
2.399199999999999733e+01,1.206260000000000048e+02,3.680000000000000160e+00,1.319999999999999929e+01
2.398999999999999844e+01,1.210600000000000023e+02,3.250000000000000000e+00,1.359999999999999964e+01
2.430999999999999872e+01,1.209000000000000057e+02,3.439999999999999947e+00,1.830000000000000071e+01
2.398999999999999844e+01,1.209599999999999937e+02,3.089999999999999858e+00,1.169999999999999929e+01
2.407000000000000028e+01,1.214699999999999989e+02,3.350000000000000089e+00,6.299999999999999822e+00
2.371599999999999753e+01,1.209529999999999887e+02,4.040000000000000036e+00,2.010000000000000142e+01
2.437000000000000099e+01,1.208829999999999956e+02,3.629999999999999893e+00,7.099999999999999645e+00
2.412000000000000099e+01,1.210300000000000011e+02,3.500000000000000000e+00,9.800000000000000711e+00
2.418400000000000105e+01,1.213799999999999955e+02,3.799999999999999822e+00,1.259999999999999964e+01
2.419999999999999929e+01,1.213799999999999955e+02,3.229999999999999982e+00,9.000000000000000000e+00
2.410999999999999943e+01,1.208700000000000045e+02,3.459999999999999964e+00,6.200000000000000178e+00
2.419000000000000128e+01,1.213799999999999955e+02,3.680000000000000160e+00,8.400000000000000355e+00
2.385999999999999943e+01,1.209699999999999989e+02,3.060000000000000053e+00,5.099999999999999645e+00
2.358999999999999986e+01,1.208299999999999983e+02,3.470000000000000195e+00,6.099999999999999645e+00
2.400000000000000000e+01,1.209699999999999989e+02,3.209999999999999964e+00,6.400000000000000355e+00
2.387000000000000099e+01,1.210799999999999983e+02,3.700000000000000178e+00,1.200000000000000000e+01
2.401000000000000156e+01,1.206479999999999961e+02,3.899999999999999911e+00,1.919999999999999929e+01
2.437999999999999901e+01,1.215400000000000063e+02,2.439999999999999947e+00,7.799999999999999822e+00
2.382000000000000028e+01,1.210799999999999983e+02,3.299999999999999822e+00,3.299999999999999822e+00
2.419999999999999929e+01,1.214699999999999989e+02,3.359999999999999876e+00,1.100000000000000000e+01
2.351999999999999957e+01,1.210000000000000000e+02,3.049999999999999822e+00,6.000000000000000000e+00
2.410000000000000142e+01,1.213199999999999932e+02,3.040000000000000036e+00,1.390000000000000036e+01
2.397300000000000253e+01,1.208449999999999989e+02,3.020000000000000018e+00,1.330000000000000071e+01
2.423999999999999844e+01,1.211899999999999977e+02,3.819999999999999840e+00,6.799999999999999822e+00
2.364999999999999858e+01,1.206800000000000068e+02,3.600000000000000089e+00,1.830000000000000071e+01
2.405199999999999960e+01,1.209739999999999895e+02,4.269999999999999574e+00,9.199999999999999289e+00
2.421999999999999886e+01,1.211299999999999955e+02,3.330000000000000071e+00,5.299999999999999822e+00
2.439000000000000057e+01,1.209699999999999989e+02,3.140000000000000124e+00,7.299999999999999822e+00
2.439000000000000057e+01,1.210199999999999960e+02,3.859999999999999876e+00,3.500000000000000000e+00
2.324800000000000111e+01,1.209290000000000020e+02,3.250000000000000000e+00,2.600000000000000000e+01
2.407000000000000028e+01,1.209899999999999949e+02,3.220000000000000195e+00,5.900000000000000355e+00
2.387500000000000000e+01,1.207900000000000063e+02,3.160000000000000142e+00,1.269999999999999929e+01
2.396000000000000085e+01,1.210100000000000051e+02,3.129999999999999893e+00,8.199999999999999289e+00
2.401000000000000156e+01,1.213100000000000023e+02,3.339999999999999858e+00,1.600000000000000000e+01
2.396099999999999852e+01,1.206200000000000045e+02,3.100000000000000089e+00,1.269999999999999929e+01
2.355999999999999872e+01,1.208499999999999943e+02,3.200000000000000178e+00,8.000000000000000000e+00
2.419999999999999929e+01,1.212500000000000000e+02,3.169999999999999929e+00,1.090000000000000036e+01
2.317999999999999972e+01,1.208599999999999994e+02,3.160000000000000142e+00,3.100000000000000089e+00
2.316000000000000014e+01,1.209099999999999966e+02,3.089999999999999858e+00,1.040000000000000036e+01
2.364000000000000057e+01,1.208599999999999994e+02,3.310000000000000053e+00,2.310000000000000142e+01
2.351000000000000156e+01,1.206700000000000017e+02,3.080000000000000071e+00,6.599999999999999645e+00
2.319999999999999929e+01,1.209099999999999966e+02,3.209999999999999964e+00,1.800000000000000044e+00
2.367999999999999972e+01,1.209300000000000068e+02,3.419999999999999929e+00,7.099999999999999645e+00
2.407999999999999829e+01,1.214399999999999977e+02,3.020000000000000018e+00,6.400000000000000355e+00
2.394699999999999918e+01,1.210579999999999927e+02,3.029999999999999805e+00,2.550000000000000000e+01
2.328000000000000114e+01,1.211299999999999955e+02,3.479999999999999982e+00,5.250000000000000000e+01
2.439000000000000057e+01,1.209899999999999949e+02,3.399999999999999911e+00,7.700000000000000178e+00
2.350000000000000000e+01,1.211099999999999994e+02,3.330000000000000071e+00,2.000000000000000000e+00
2.319199999999999662e+01,1.208529999999999944e+02,3.490000000000000213e+00,7.599999999999999645e+00
2.314000000000000057e+01,1.209200000000000017e+02,3.399999999999999911e+00,3.600000000000000089e+00
2.439000000000000057e+01,1.209899999999999949e+02,3.029999999999999805e+00,4.900000000000000355e+00
2.400000000000000000e+01,1.210600000000000023e+02,3.259999999999999787e+00,1.190000000000000036e+01
2.437000000000000099e+01,1.209200000000000017e+02,3.089999999999999858e+00,2.200000000000000178e+00
2.378000000000000114e+01,1.209000000000000057e+02,3.299999999999999822e+00,1.000000000000000000e+01
2.348000000000000043e+01,1.209300000000000068e+02,3.490000000000000213e+00,4.799999999999999822e+00
2.319900000000000162e+01,1.208599999999999994e+02,3.750000000000000000e+00,2.100000000000000089e+00
2.367000000000000171e+01,1.209599999999999937e+02,3.350000000000000089e+00,3.200000000000000178e+00
2.433999999999999986e+01,1.208400000000000034e+02,2.560000000000000053e+00,1.200000000000000000e+01
2.378999999999999915e+01,1.209200000000000017e+02,3.060000000000000053e+00,1.440000000000000036e+01
2.384499999999999886e+01,1.209220000000000113e+02,3.640000000000000124e+00,4.299999999999999822e+00
2.357000000000000028e+01,1.208499999999999943e+02,3.430000000000000160e+00,1.259999999999999964e+01
2.398000000000000043e+01,1.207099999999999937e+02,3.109999999999999876e+00,2.019999999999999929e+01
2.362000000000000099e+01,1.208199999999999932e+02,3.450000000000000178e+00,5.000000000000000000e+00
2.425000000000000000e+01,1.210999999999999943e+02,3.270000000000000018e+00,6.400000000000000355e+00
2.421000000000000085e+01,1.209399999999999977e+02,3.240000000000000213e+00,4.500000000000000000e+00
2.398000000000000043e+01,1.209800000000000040e+02,3.129999999999999893e+00,1.619999999999999929e+01
2.403999999999999915e+01,1.209699999999999989e+02,3.189999999999999947e+00,1.409999999999999964e+01
2.397800000000000153e+01,1.210949999999999989e+02,3.689999999999999947e+00,2.899999999999999911e+00
2.421000000000000085e+01,1.212999999999999972e+02,3.640000000000000124e+00,2.810000000000000142e+01
2.376999999999999957e+01,1.209260000000000019e+02,3.799999999999999822e+00,2.560000000000000142e+01
2.401000000000000156e+01,1.212699999999999960e+02,3.290000000000000036e+00,6.599999999999999645e+00
